,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
1140,수도권본부,강원도 춘천시 근화동 598ㅡ6,경춘선,8.0,활용,운행선 인근부지,미사용,계획없음
1141,수도권본부,강원도 춘천시 근화동 598ㅡ8,경춘선,30.0,활용,운행선 인근부지,미사용,계획없음
1142,수도권본부,강원도 춘천시 근화동 599ㅡ1,경춘선,1933.0,활용,운행선 인근부지,미사용,계획없음
1143,수도권본부,강원도 춘천시 근화동 600ㅡ5,경춘선,51.0,활용,운행선 인근부지,미사용,계획없음
1144,수도권본부,강원도 춘천시 근화동 786ㅡ1,경춘선,29910.0,활용,운행선 인근부지,미사용,계획없음
1145,수도권본부,강원도 춘천시 근화동 786ㅡ23,경춘선,13.0,활용,운행선 인근부지,미사용,계획없음
1146,수도권본부,강원도 춘천시 근화동 786ㅡ25,경춘선,30.0,활용,운행선 인근부지,미사용,계획없음
1148,수도권본부,강원도 춘천시 근화동 786ㅡ33,경춘선,46.0,활용,운행선 인근부지,미사용,계획없음
1149,수도권본부,강원도 춘천시 근화동 786ㅡ34,경춘선,185.0,활용,운행선 인근부지,미사용,계획없음
1150,수도권본부,강원도 춘천시 근화동 786ㅡ46,경춘선,2.0,활용,운행선 인근부지,미사용,계획없음
1151,수도권본부,강원도 춘천시 근화동 786ㅡ47,경춘선,41.0,활용,운행선 인근부지,미사용,계획없음
1152,수도권본부,강원도 춘천시 근화동 786ㅡ48,경춘선,4.0,활용,운행선 인근부지,미사용,계획없음
1153,수도권본부,강원도 춘천시 근화동 786ㅡ8,경춘선,111.0,활용,운행선 인근부지,미사용,계획없음
1154,수도권본부,강원도 춘천시 근화동 791ㅡ1,경춘선,844.0,활용,운행선 인근부지,미사용,계획없음
1155,수도권본부,강원도 춘천시 근화동 791ㅡ3,경춘선,724.0,활용,운행선 인근부지,미사용,계획없음
1156,수도권본부,강원도 춘천시 근화동 95ㅡ1,경춘선,40.0,활용,운행선 인근부지,미사용,계획없음
1157,수도권본부,강원도 춘천시 근화동 95ㅡ2,경춘선,20.0,활용,운행선 인근부지,미사용,계획없음
1158,수도권본부,강원도 춘천시 근화동 95ㅡ3,경춘선,3.0,활용,운행선 인근부지,미사용,계획없음
1159,수도권본부,강원도 춘천시 근화동 95ㅡ4,경춘선,7.0,활용,운행선 인근부지,미사용,계획없음
1160,수도권본부,강원도 춘천시 근화동 95ㅡ5,경춘선,105.0,활용,운행선 인근부지,미사용,계획없음
1474,수도권본부,강원도 춘천시 신동면 정족리 1087ㅡ2,경춘선,35.0,활용,운행선 인근부지,미사용,계획없음
1476,수도권본부,강원도 춘천시 신동면 정족리 1089ㅡ5,경춘선,1402.0,활용,운행선 인근부지,미사용,계획없음
1477,수도권본부,강원도 춘천시 신동면 정족리 630ㅡ3,경춘선,1024.0,활용,운행선 인근부지,미사용,계획없음
1478,수도권본부,강원도 춘천시 신동면 정족리 630ㅡ6,경춘선,391.0,활용,운행선 인근부지,미사용,계획없음
