id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility,result,pca_x,pca_y
1139,수도권본부,강원도 춘천시 근화동 598-5,경춘선,24,활용,운행선 인근부지,미사용,계획없음,1.0, ,139900.0,가능,3.64,21716.0,3962.0,0,-1.7629913220863915,2.401051659335243
1141,수도권본부,강원도 춘천시 근화동 598-8,경춘선,30,활용,운행선 인근부지,미사용,계획없음,2.0, ,139900.0,가능,3.64,43440.0,7926.0,0,-1.7167463216343115,2.400302209059369
1143,수도권본부,강원도 춘천시 근화동 600-5,경춘선,51,활용,운행선 인근부지,미사용,계획없음,3.0, ,139900.0,가능,3.64,65159.0,11888.0,0,-1.655415976380877,2.398533349833535
1156,수도권본부,강원도 춘천시 근화동 95-1,경춘선,40,활용,운행선 인근부지,미사용,계획없음,3.0, ,115700.0,가능,3.64,65159.0,11888.0,0,-1.6511366587288596,2.0010512642627383
1157,수도권본부,강원도 춘천시 근화동 95-2,경춘선,20,활용,운행선 인근부지,미사용,계획없음,1.0, ,115100.0,가능,3.64,21716.0,3962.0,0,-1.751287011864038,1.9932204799178839
1160,수도권본부,강원도 춘천시 근화동 95-5,경춘선,105,활용,운행선 인근부지,미사용,계획없음,8.0, ,115100.0,가능,3.64,173760.0,31704.0,0,-1.3843344237187085,1.9850518789743077
1474,수도권본부,강원도 춘천시 신동면 정족리 1087-2,경춘선,35,활용,운행선 인근부지,미사용,계획없음,2.0, ,25700.0,가능,3.6,42933.0,7833.0,0,-1.64906378513264,0.4154977794954041
1476,수도권본부,강원도 춘천시 신동면 정족리 1089-5,경춘선,1402,활용,운행선 인근부지,미사용,계획없음,107.0, ,25700.0,가능,3.6,2296805.0,440900.0,0,3.9872292825735935,0.2874329201521054
1477,수도권본부,강원도 춘천시 신동면 정족리 630-3,경춘선,1024,활용,운행선 인근부지,미사용,계획없음,78.0, ,25700.0,가능,3.6,1674304.0,323221.0,0,2.4365298302337055,0.32295507310101185
1478,수도권본부,강원도 춘천시 신동면 정족리 630-6,경춘선,391,활용,운행선 인근부지,미사용,계획없음,30.0, ,25700.0,가능,3.6,643966.0,124316.0,0,-0.15130603876513918,0.3819898268031504
1479,수도권본부,강원도 춘천시 신동면 정족리 632-15,경춘선,216,활용,운행선 인근부지,미사용,계획없음,16.0, ,21900.0,가능,3.6,343444.0,62664.0,0,-0.9061454306117626,0.33579330582991146
1481,수도권본부,강원도 춘천시 신동면 정족리 658-2,경춘선,274,활용,운행선 인근부지,미사용,계획없음,21.0, ,141000.0,가능,3.6,450777.0,82248.0,0,-0.7238939870267458,2.289993414137804
1483,수도권본부,강원도 춘천시 신동면 정족리 659-6,경춘선,54,활용,운행선 인근부지,미사용,계획없음,4.0, ,141000.0,가능,3.6,85858.0,15665.0,0,-1.623314631183913,2.3108600522235245
1486,수도권본부,강원도 춘천시 신동면 정족리 660-3,경춘선,198,활용,운행선 인근부지,미사용,계획없음,15.0, ,141000.0,가능,3.6,321985.0,58749.0,0,-1.0396742270548143,2.2972462898945163
1487,수도권본부,강원도 춘천시 신동면 정족리 660-5,경춘선,188,활용,운행선 인근부지,미사용,계획없음,14.0, ,28200.0,가능,3.6,300516.0,54831.0,0,-1.0180832518972924,0.4420634794255544
1491,수도권본부,강원도 춘천시 신동면 정족리 664-6,경춘선,118,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0,0,-1.2879331680642,0.44856070986048
1495,수도권본부,강원도 춘천시 신동면 정족리 666-8,경춘선,125,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0,0,-1.2808887327955842,0.44808507498428474
1496,수도권본부,강원도 춘천시 신동면 정족리 667-8,경춘선,98,활용,운행선 인근부지,미사용,계획없음,7.0, ,33900.0,가능,3.6,150260.0,27416.0,0,-1.3914481018081784,0.5444136740768042
1498,수도권본부,강원도 춘천시 신동면 정족리 712-5,경춘선,277,활용,운행선 인근부지,미사용,계획없음,21.0, ,25700.0,가능,3.6,450777.0,82248.0,0,-0.6477445151930346,0.392439871813832
1502,수도권본부,강원도 춘천시 신동면 정족리 714-1,경춘선,83,활용,운행선 인근부지,미사용,계획없음,6.0, ,25700.0,가능,3.6,128792.0,23499.0,0,-1.44122871118441,0.41084369267798215
1512,수도권본부,강원도 춘천시 신동면 정족리 719-2,경춘선,43,활용,운행선 인근부지,미사용,계획없음,3.0, ,28200.0,가능,3.6,64397.0,11749.0,0,-1.602718212413093,0.455745420232627
1518,수도권본부,강원도 춘천시 신동면 정족리 721-4,경춘선,238,활용,운행선 인근부지,미사용,계획없음,18.0, ,28200.0,가능,3.6,386373.0,70497.0,0,-0.8082367607429755,0.43727347074222167
1527,수도권본부,강원도 춘천시 신동면 증리 1040-9,경춘선,23,활용,미사용,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0,0,-1.6996361803014544,0.38045844205608165
1533,수도권본부,강원도 춘천시 신동면 증리 646-5,경춘선,17,활용,미사용,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0,0,-1.7056742676745535,0.3808661290928206
1534,수도권본부,강원도 춘천시 신동면 증리 647-6,경춘선,13,활용,미사용,미사용,계획없음,1.0,도로,23500.0,가능,3.6,21462.0,3915.0,0,-1.70969965925662,0.38113792045064643
1536,수도권본부,강원도 춘천시 신동면 증리 659-2,경춘선,13,활용,운행선 인근부지,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0,0,-1.70969965925662,0.38113792045064643
1537,수도권본부,강원도 춘천시 신동면 증리 661-6,경춘선,99,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0,0,-1.3838454273495175,0.37320577075097944
1539,수도권본부,강원도 춘천시 신동면 증리 671-1,경춘선,81,활용,미사용,미사용,계획없음,6.0, ,80100.0,가능,3.6,128792.0,23499.0,0,-1.4777452689980415,1.3061732016702063
1540,수도권본부,강원도 춘천시 신동면 증리 673-2,경춘선,757,활용,미사용,미사용,계획없음,58.0, ,77200.0,가능,3.6,1244988.0,240342.0,0,1.3223179194864638,1.1952453806384233
