id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility,result,pca_x,pca_y
1486,수도권본부,강원도 춘천시 신동면 정족리 660-3,경춘선,198,활용,운행선 인근부지,미사용,계획없음,15.0, ,141000.0,가능,3.6,321985.0,58749.0,3,-1.0396742270548138,2.2972462898945123
1487,수도권본부,강원도 춘천시 신동면 정족리 660-5,경춘선,188,활용,운행선 인근부지,미사용,계획없음,14.0, ,28200.0,가능,3.6,300516.0,54831.0,1,-1.0180832518972922,0.4420634794255561
1491,수도권본부,강원도 춘천시 신동면 정족리 664-6,경춘선,118,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0,1,-1.2879331680641997,0.44856070986048185
1495,수도권본부,강원도 춘천시 신동면 정족리 666-8,경춘선,125,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0,1,-1.2808887327955836,0.44808507498428657
1496,수도권본부,강원도 춘천시 신동면 정족리 667-8,경춘선,98,활용,운행선 인근부지,미사용,계획없음,7.0, ,33900.0,가능,3.6,150260.0,27416.0,1,-1.3914481018081777,0.5444136740768057
1498,수도권본부,강원도 춘천시 신동면 정족리 712-5,경춘선,277,활용,운행선 인근부지,미사용,계획없음,21.0, ,25700.0,가능,3.6,450777.0,82248.0,1,-0.6477445151930343,0.3924398718138337
1502,수도권본부,강원도 춘천시 신동면 정족리 714-1,경춘선,83,활용,운행선 인근부지,미사용,계획없음,6.0, ,25700.0,가능,3.6,128792.0,23499.0,1,-1.4412287111844089,0.41084369267798426
1512,수도권본부,강원도 춘천시 신동면 정족리 719-2,경춘선,43,활용,운행선 인근부지,미사용,계획없음,3.0, ,28200.0,가능,3.6,64397.0,11749.0,1,-1.6027182124130928,0.45574542023262893
1518,수도권본부,강원도 춘천시 신동면 정족리 721-4,경춘선,238,활용,운행선 인근부지,미사용,계획없음,18.0, ,28200.0,가능,3.6,386373.0,70497.0,1,-0.8082367607429753,0.4372734707422234
1527,수도권본부,강원도 춘천시 신동면 증리 1040-9,경춘선,23,활용,미사용,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0,1,-1.699636180301453,0.3804584420560836
1533,수도권본부,강원도 춘천시 신동면 증리 646-5,경춘선,17,활용,미사용,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0,1,-1.705674267674553,0.38086612909282264
1534,수도권본부,강원도 춘천시 신동면 증리 647-6,경춘선,13,활용,미사용,미사용,계획없음,1.0,도로,23500.0,가능,3.6,21462.0,3915.0,1,-1.709699659256619,0.38113792045064854
1536,수도권본부,강원도 춘천시 신동면 증리 659-2,경춘선,13,활용,운행선 인근부지,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0,1,-1.709699659256619,0.38113792045064854
1537,수도권본부,강원도 춘천시 신동면 증리 661-6,경춘선,99,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0,1,-1.383845427349517,0.37320577075098144
1539,수도권본부,강원도 춘천시 신동면 증리 671-1,경춘선,81,활용,미사용,미사용,계획없음,6.0, ,80100.0,가능,3.6,128792.0,23499.0,3,-1.4777452689980406,1.3061732016702052
1540,수도권본부,강원도 춘천시 신동면 증리 673-2,경춘선,757,활용,미사용,미사용,계획없음,58.0, ,77200.0,가능,3.6,1244988.0,240342.0,2,1.3223179194864634,1.1952453806384224
1543,수도권본부,강원도 춘천시 신동면 증리 698-3,경춘선,973,활용,운행선 인근부지,미사용,계획없음,74.0, ,59700.0,가능,3.6,1588444.0,306645.0,2,2.2010720476345744,0.8872517184334459
1544,수도권본부,강원도 춘천시 신동면 증리 699-1,경춘선,102,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0,1,-1.3808263836629675,0.37300192723261194
1545,수도권본부,강원도 춘천시 신동면 증리 699-2,경춘선,79,활용,운행선 인근부지,미사용,계획없음,6.0, ,23500.0,가능,3.6,128792.0,23499.0,1,-1.4438587259935027,0.3749128011444632
1546,수도권본부,강원도 춘천시 신동면 증리 700-1,경춘선,231,활용,운행선 인근부지,미사용,계획없음,17.0, ,23500.0,가능,3.6,364909.0,66581.0,1,-0.8521806087940327,0.36075519927419697
