area,capacity,realty_price,insolation,generation_quantity,economic_feasibility,result
50,3.0,126300.0,3.49,62464.0,11397.0,3
314,24.0,119600.0,3.49,499706.0,91175.0,3
169,13.0,119600.0,3.49,270681.0,49388.0,3
274,21.0,119600.0,3.49,437237.0,79777.0,3
549,42.0,127000.0,3.49,874489.0,168818.0,3
172,13.0,218900.0,3.49,270681.0,49388.0,3
33,2.0,15500.0,3.49,41633.0,7596.0,1
128,9.0,144500.0,3.5,188061.0,34313.0,3
714,54.0,50600.0,3.5,1128406.0,217836.0,2
33,2.0,144500.0,3.5,41791.0,7625.0,3
449,34.0,61800.0,3.5,710478.0,137156.0,1
69,5.0,53400.0,3.5,104482.0,19063.0,1
411,31.0,66500.0,3.5,647781.0,125052.0,1
102,7.0,53400.0,3.5,146264.0,26687.0,1
145,11.0,136400.0,3.5,229858.0,41939.0,3
198,15.0,53400.0,3.5,313439.0,57189.0,1
410,31.0,53400.0,3.5,647781.0,125052.0,1
112,8.0,53400.0,3.5,167169.0,30501.0,1
1911,147.0,53400.0,3.5,3071766.0,577754.0,2
112,8.0,50600.0,3.5,167169.0,30501.0,1
73,5.0,50600.0,3.5,104482.0,19063.0,1
66,5.0,50600.0,3.5,104482.0,19063.0,1
65,5.0,50600.0,3.5,104482.0,19063.0,1
179,13.0,50600.0,3.5,271660.0,49566.0,1
533,41.0,50600.0,3.5,856751.0,165394.0,1
225,17.0,50600.0,3.5,355233.0,64815.0,1
36,2.0,50600.0,3.5,41791.0,7625.0,1
149,11.0,50600.0,3.5,229858.0,41939.0,1
515,39.0,50600.0,3.5,814963.0,157326.0,1
26,2.0,75200.0,3.5,41791.0,7625.0,3
200,15.0,95500.0,3.5,313439.0,57189.0,3
99,7.0,95500.0,3.5,146264.0,26687.0,3
116,8.0,102300.0,3.5,167169.0,30501.0,3
99,7.0,8580.0,3.5,146264.0,26687.0,1
26,2.0,8580.0,3.5,41791.0,7625.0,1
397,30.0,8580.0,3.5,626900.0,121021.0,1
99,7.0,53400.0,3.5,146264.0,26687.0,1
1289,99.0,24400.0,3.5,2068739.0,399365.0,2
396,30.0,53400.0,3.5,626900.0,121021.0,1
99,7.0,53400.0,3.5,146264.0,26687.0,1
99,7.0,53400.0,3.5,146264.0,26687.0,1
227,17.0,53400.0,3.5,355233.0,64815.0,1
198,15.0,53400.0,3.5,313439.0,57189.0,1
188,14.0,102300.0,3.49,291436.0,53175.0,3
1726,132.0,105400.0,3.49,2747774.0,520012.0,2
115,8.0,110300.0,3.49,166533.0,30385.0,3
360,27.0,105400.0,3.49,562048.0,102550.0,3
162,12.0,110000.0,3.49,249802.0,45578.0,3
1839,141.0,105400.0,3.49,2935128.0,553192.0,2
645,49.0,126700.0,3.49,1019270.0,196768.0,3
46,3.0,204200.0,3.45,61787.0,11273.0,3
142,10.0,20400.0,3.55,211774.0,38640.0,1
707,54.0,48000.0,3.55,1142459.0,220549.0,2
321,24.0,48000.0,3.55,507762.0,92645.0,1
89,6.0,48000.0,3.55,126939.0,23161.0,1
657,50.0,48000.0,3.55,1057837.0,204213.0,2
13,1.0,96000.0,3.55,21154.0,3859.0,3
367,28.0,96000.0,3.55,592398.0,108088.0,3
34,2.0,34800.0,3.55,42309.0,7719.0,1
26,2.0,79900.0,3.55,42309.0,7719.0,3
89,6.0,34800.0,3.55,126939.0,23161.0,1
354,27.0,34800.0,3.55,571231.0,104226.0,1
1326,102.0,94100.0,3.55,2157983.0,415924.0,2
493,37.0,94100.0,3.55,782796.0,151117.0,3
374,28.0,94100.0,3.55,592398.0,108088.0,3
51,3.0,34800.0,3.55,63465.0,11579.0,1
22,1.0,94100.0,3.55,21154.0,3859.0,3
266,20.0,20900.0,3.55,423132.0,77204.0,1
132,10.0,110700.0,3.55,211571.0,38603.0,3
198,15.0,94100.0,3.55,317343.0,57902.0,3
1587,122.0,94100.0,3.55,2581120.0,490874.0,2
100,7.0,20400.0,3.55,148235.0,27046.0,1
178,13.0,20400.0,3.55,275306.0,50232.0,1
70,5.0,20400.0,3.55,105880.0,19318.0,1
83,6.0,21100.0,3.55,127060.0,23183.0,1
147,11.0,38500.0,3.55,232944.0,42502.0,1
25,1.0,17100.0,3.55,21173.0,3863.0,1
1557,119.0,31800.0,3.55,2520038.0,480235.0,2
23,1.0,22600.0,3.55,21173.0,3863.0,1
13,1.0,60300.0,3.55,21173.0,3863.0,1
