id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
1138,수도권본부,강원도 춘천시 근화동 598-4,경춘선,882,활용,운행선 인근부지,미사용,계획없음,67.0, ,374300.0,가능,3.64,1455246.0,280932.0
1139,수도권본부,강원도 춘천시 근화동 598-5,경춘선,24,활용,운행선 인근부지,미사용,계획없음,1.0, ,139900.0,가능,3.64,21716.0,3962.0
1141,수도권본부,강원도 춘천시 근화동 598-8,경춘선,30,활용,운행선 인근부지,미사용,계획없음,2.0, ,139900.0,가능,3.64,43440.0,7926.0
1142,수도권본부,강원도 춘천시 근화동 599-1,경춘선,1933,활용,운행선 인근부지,미사용,계획없음,148.0, ,263700.0,가능,3.64,3214567.0,604363.0
1143,수도권본부,강원도 춘천시 근화동 600-5,경춘선,51,활용,운행선 인근부지,미사용,계획없음,3.0, ,139900.0,가능,3.64,65159.0,11888.0
1144,수도권본부,강원도 춘천시 근화동 786-1,경춘선,29910,활용,운행선 인근부지,미사용,계획없음,2300.0, ,143700.0,가능,3.64,49956135.0,8900200.0
1145,수도권본부,강원도 춘천시 근화동 786-23,경춘선,13,활용,운행선 인근부지,미사용,계획없음,1.0, ,283500.0,가능,3.64,21716.0,3962.0
1146,수도권본부,강원도 춘천시 근화동 786-25,경춘선,30,활용,운행선 인근부지,미사용,계획없음,2.0, ,283500.0,가능,3.64,43440.0,7926.0
1148,수도권본부,강원도 춘천시 근화동 786-33,경춘선,46,활용,운행선 인근부지,미사용,계획없음,3.0, ,283500.0,가능,3.64,65159.0,11888.0
1149,수도권본부,강원도 춘천시 근화동 786-34,경춘선,185,활용,운행선 인근부지,미사용,계획없음,14.0, ,283500.0,가능,3.64,304079.0,55482.0
1151,수도권본부,강원도 춘천시 근화동 786-47,경춘선,41,활용,운행선 인근부지,미사용,계획없음,3.0, ,283500.0,가능,3.64,65159.0,11888.0
1153,수도권본부,강원도 춘천시 근화동 786-8,경춘선,111,활용,운행선 인근부지,미사용,계획없음,8.0, ,283500.0,가능,3.64,173760.0,31704.0
1154,수도권본부,강원도 춘천시 근화동 791-1,경춘선,844,활용,운행선 인근부지,미사용,계획없음,64.0, ,564800.0,가능,3.64,1390085.0,268353.0
1155,수도권본부,강원도 춘천시 근화동 791-3,경춘선,724,활용,운행선 인근부지,미사용,계획없음,55.0, ,592500.0,가능,3.64,1194608.0,230616.0
1156,수도권본부,강원도 춘천시 근화동 95-1,경춘선,40,활용,운행선 인근부지,미사용,계획없음,3.0, ,115700.0,가능,3.64,65159.0,11888.0
1157,수도권본부,강원도 춘천시 근화동 95-2,경춘선,20,활용,운행선 인근부지,미사용,계획없음,1.0, ,115100.0,가능,3.64,21716.0,3962.0
1160,수도권본부,강원도 춘천시 근화동 95-5,경춘선,105,활용,운행선 인근부지,미사용,계획없음,8.0, ,115100.0,가능,3.64,173760.0,31704.0
1474,수도권본부,강원도 춘천시 신동면 정족리 1087-2,경춘선,35,활용,운행선 인근부지,미사용,계획없음,2.0, ,25700.0,가능,3.6,42933.0,7833.0
1476,수도권본부,강원도 춘천시 신동면 정족리 1089-5,경춘선,1402,활용,운행선 인근부지,미사용,계획없음,107.0, ,25700.0,가능,3.6,2296805.0,440900.0
1477,수도권본부,강원도 춘천시 신동면 정족리 630-3,경춘선,1024,활용,운행선 인근부지,미사용,계획없음,78.0, ,25700.0,가능,3.6,1674304.0,323221.0
1478,수도권본부,강원도 춘천시 신동면 정족리 630-6,경춘선,391,활용,운행선 인근부지,미사용,계획없음,30.0, ,25700.0,가능,3.6,643966.0,124316.0
1479,수도권본부,강원도 춘천시 신동면 정족리 632-15,경춘선,216,활용,운행선 인근부지,미사용,계획없음,16.0, ,21900.0,가능,3.6,343444.0,62664.0
1481,수도권본부,강원도 춘천시 신동면 정족리 658-2,경춘선,274,활용,운행선 인근부지,미사용,계획없음,21.0, ,141000.0,가능,3.6,450777.0,82248.0
1483,수도권본부,강원도 춘천시 신동면 정족리 659-6,경춘선,54,활용,운행선 인근부지,미사용,계획없음,4.0, ,141000.0,가능,3.6,85858.0,15665.0
1486,수도권본부,강원도 춘천시 신동면 정족리 660-3,경춘선,198,활용,운행선 인근부지,미사용,계획없음,15.0, ,141000.0,가능,3.6,321985.0,58749.0
1487,수도권본부,강원도 춘천시 신동면 정족리 660-5,경춘선,188,활용,운행선 인근부지,미사용,계획없음,14.0, ,28200.0,가능,3.6,300516.0,54831.0
1491,수도권본부,강원도 춘천시 신동면 정족리 664-6,경춘선,118,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0
