id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
1144,수도권본부,강원도 춘천시 근화동 786-1,경춘선,29910,활용,운행선 인근부지,미사용,계획없음,2300.0, ,143700.0,가능,3.64,49956135.0,8900200.0
1145,수도권본부,강원도 춘천시 근화동 786-23,경춘선,13,활용,운행선 인근부지,미사용,계획없음,1.0, ,283500.0,가능,3.64,21716.0,3962.0
1146,수도권본부,강원도 춘천시 근화동 786-25,경춘선,30,활용,운행선 인근부지,미사용,계획없음,2.0, ,283500.0,가능,3.64,43440.0,7926.0
1148,수도권본부,강원도 춘천시 근화동 786-33,경춘선,46,활용,운행선 인근부지,미사용,계획없음,3.0, ,283500.0,가능,3.64,65159.0,11888.0
1149,수도권본부,강원도 춘천시 근화동 786-34,경춘선,185,활용,운행선 인근부지,미사용,계획없음,14.0, ,283500.0,가능,3.64,304079.0,55482.0
1150,수도권본부,강원도 춘천시 근화동 786-46,경춘선,2,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1151,수도권본부,강원도 춘천시 근화동 786-47,경춘선,41,활용,운행선 인근부지,미사용,계획없음,3.0, ,283500.0,가능,3.64,65159.0,11888.0
1152,수도권본부,강원도 춘천시 근화동 786-48,경춘선,4,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1153,수도권본부,강원도 춘천시 근화동 786-8,경춘선,111,활용,운행선 인근부지,미사용,계획없음,8.0, ,283500.0,가능,3.64,173760.0,31704.0
1154,수도권본부,강원도 춘천시 근화동 791-1,경춘선,844,활용,운행선 인근부지,미사용,계획없음,64.0, ,564800.0,가능,3.64,1390085.0,268353.0
1155,수도권본부,강원도 춘천시 근화동 791-3,경춘선,724,활용,운행선 인근부지,미사용,계획없음,55.0, ,592500.0,가능,3.64,1194608.0,230616.0
1156,수도권본부,강원도 춘천시 근화동 95-1,경춘선,40,활용,운행선 인근부지,미사용,계획없음,3.0, ,115700.0,가능,3.64,65159.0,11888.0
1157,수도권본부,강원도 춘천시 근화동 95-2,경춘선,20,활용,운행선 인근부지,미사용,계획없음,1.0, ,115100.0,가능,3.64,21716.0,3962.0
1158,수도권본부,강원도 춘천시 근화동 95-3,경춘선,3,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1159,수도권본부,강원도 춘천시 근화동 95-4,경춘선,7,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1160,수도권본부,강원도 춘천시 근화동 95-5,경춘선,105,활용,운행선 인근부지,미사용,계획없음,8.0, ,115100.0,가능,3.64,173760.0,31704.0
1474,수도권본부,강원도 춘천시 신동면 정족리 1087-2,경춘선,35,활용,운행선 인근부지,미사용,계획없음,2.0, ,25700.0,가능,3.6,42933.0,7833.0
1476,수도권본부,강원도 춘천시 신동면 정족리 1089-5,경춘선,1402,활용,운행선 인근부지,미사용,계획없음,107.0, ,25700.0,가능,3.6,2296805.0,440900.0
1477,수도권본부,강원도 춘천시 신동면 정족리 630-3,경춘선,1024,활용,운행선 인근부지,미사용,계획없음,78.0, ,25700.0,가능,3.6,1674304.0,323221.0
1478,수도권본부,강원도 춘천시 신동면 정족리 630-6,경춘선,391,활용,운행선 인근부지,미사용,계획없음,30.0, ,25700.0,가능,3.6,643966.0,124316.0
1479,수도권본부,강원도 춘천시 신동면 정족리 632-15,경춘선,216,활용,운행선 인근부지,미사용,계획없음,16.0, ,21900.0,가능,3.6,343444.0,62664.0
1481,수도권본부,강원도 춘천시 신동면 정족리 658-2,경춘선,274,활용,운행선 인근부지,미사용,계획없음,21.0, ,141000.0,가능,3.6,450777.0,82248.0
