,id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
50,19025,강원본부,충청북도 제천시 대랑동 72ㅡ3,중앙선,922.0,활용,미사용,계획 없음,,,,,,,
51,19026,강원본부,충청북도 제천시 대랑동 72ㅡ4,중앙선,387.0,활용,미사용,계획 없음,,,,,,,
52,19027,강원본부,충청북도 제천시 대랑동 산 10ㅡ4,중앙선,694.0,활용,미사용,계획 없음,,,,,,,
53,19028,강원본부,충청북도 제천시 대랑동 산 11ㅡ1,중앙선,992.0,활용,미사용,계획 없음,,,,,,,
54,19029,강원본부,충청북도 제천시 대랑동 산 21ㅡ1,중앙선,22268.0,활용,미사용,계획 없음,,,,,,,
55,19030,강원본부,충청북도 제천시 대랑동 산 27ㅡ1,중앙선,298.0,활용,미사용,계획 없음,,,,,,,
56,19031,강원본부,충청북도 제천시 대랑동 산 27ㅡ3,중앙선,2182.0,활용,미사용,계획 없음,,,,,,,
57,19032,강원본부,충청북도 제천시 대랑동 산 27ㅡ4,중앙선,793.0,활용,미사용,계획 없음,,,,,,,
58,19033,강원본부,충청북도 제천시 대랑동 산 27ㅡ5,중앙선,298.0,활용,미사용,계획 없음,,,,,,,
59,19034,강원본부,충청북도 제천시 대랑동 산 28ㅡ1,중앙선,69.0,활용,미사용,계획 없음,,,,,,,
60,19035,강원본부,충청북도 제천시 대랑동 산 29ㅡ2,중앙선,1091.0,활용,미사용,계획 없음,,,,,,,
61,19036,강원본부,충청북도 제천시 대랑동 산 29ㅡ4,중앙선,1686.0,활용,미사용,계획 없음,,,,,,,
62,19038,강원본부,충청북도 제천시 대랑동 산 31ㅡ2,중앙선,5653.0,활용,미사용,계획 없음,,,,,,,
63,19039,강원본부,충청북도 제천시 대랑동 산 38ㅡ2,중앙선,9520.0,활용,미사용,계획 없음,,,,,,,
64,19042,강원본부,충청북도 단양군 매포읍 가평리 110ㅡ2,중앙선,1022.0,기타,미사용,계획 없음,,,,,,,
65,19043,강원본부,충청북도 단양군 매포읍 가평리 111ㅡ1,중앙선,3666.0,기타,미사용,계획 없음,,,,,,,
66,19044,강원본부,충청북도 단양군 매포읍 가평리 113ㅡ1,중앙선,1448.0,기타,미사용,계획 없음,,,,,,,
67,19045,강원본부,충청북도 단양군 매포읍 가평리 115ㅡ1,중앙선,96.0,기타,미사용,계획 없음,,,,,,,
68,19046,강원본부,충청북도 단양군 매포읍 가평리 118ㅡ2,중앙선,10.0,기타,미사용,계획 없음,,,,,,,
69,19047,강원본부,충청북도 단양군 매포읍 가평리 119ㅡ1,중앙선,764.0,기타,미사용,계획 없음,,,,,,,
70,19048,강원본부,충청북도 단양군 매포읍 가평리 119ㅡ3,중앙선,89.0,기타,미사용,계획 없음,,,,,,,
71,19049,강원본부,충청북도 단양군 매포읍 가평리 120ㅡ2,중앙선,1008.0,기타,미사용,계획 없음,,,,,,,
72,19050,강원본부,충청북도 단양군 매포읍 가평리 121ㅡ2,중앙선,13.0,기타,미사용,계획 없음,,,,,,,
73,19051,강원본부,충청북도 단양군 매포읍 가평리 121ㅡ3,중앙선,139.0,기타,미사용,계획 없음,,,,,,,
74,19052,강원본부,충청북도 단양군 매포읍 가평리 122ㅡ2,중앙선,56.0,기타,미사용,계획 없음,,,,,,,
75,19053,강원본부,충청북도 단양군 매포읍 가평리 285ㅡ2,중앙선,707.0,기타,미사용,계획 없음,,,,,,,
76,19054,강원본부,충청북도 단양군 매포읍 가평리 285ㅡ3,중앙선,56.0,기타,미사용,계획 없음,,,,,,,
77,19055,강원본부,충청북도 단양군 매포읍 가평리 288ㅡ12,중앙선,43.0,기타,미사용,계획 없음,,,,,,,
78,19056,강원본부,충청북도 단양군 매포읍 가평리 288ㅡ4,중앙선,1094.0,기타,미사용,계획 없음,,,,,,,
79,19057,강원본부,충청북도 단양군 매포읍 가평리 288ㅡ5,중앙선,93.0,기타,미사용,계획 없음,,,,,,,
80,19058,강원본부,충청북도 단양군 매포읍 가평리 289ㅡ4,중앙선,112.0,기타,미사용,계획 없음,,,,,,,
81,19059,강원본부,충청북도 단양군 매포읍 가평리 289ㅡ5,중앙선,53.0,기타,미사용,계획 없음,,,,,,,
82,19060,강원본부,충청북도 단양군 매포읍 가평리 289ㅡ7,중앙선,73.0,기타,미사용,계획 없음,,,,,,,
83,19061,강원본부,충청북도 단양군 매포읍 가평리 290,중앙선,635.0,기타,미사용,계획 없음,,,,,,,
84,19062,강원본부,충청북도 단양군 매포읍 가평리 475ㅡ7,중앙선,382.0,기타,미사용,계획 없음,,,,,,,
85,19063,강원본부,충청북도 단양군 매포읍 가평리 476ㅡ3,중앙선,522.0,기타,미사용,계획 없음,,,,,,,
86,19064,강원본부,충청북도 단양군 매포읍 가평리 482ㅡ8,중앙선,183.0,기타,미사용,계획 없음,,,,,,,
87,19065,강원본부,충청북도 단양군 매포읍 가평리 483ㅡ3,중앙선,76.0,기타,미사용,계획 없음,,,,,,,
88,19066,강원본부,충청북도 단양군 매포읍 가평리 483ㅡ4,중앙선,393.0,기타,미사용,계획 없음,,,,,,,
89,19067,강원본부,충청북도 단양군 매포읍 가평리 산 24ㅡ1,중앙선,7828.0,기타,미사용,계획 없음,,,,,,,
90,19068,강원본부,충청북도 단양군 매포읍 가평리 산 47ㅡ1,중앙선,298.0,기타,미사용,계획 없음,,,,,,,
91,19069,강원본부,충청북도 단양군 매포읍 가평리 산 47ㅡ3,중앙선,50.0,기타,미사용,계획 없음,,,,,,,
92,19070,강원본부,충청북도 단양군 매포읍 가평리 산 48ㅡ1,중앙선,4066.0,기타,미사용,계획 없음,,,,,,,
93,19071,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ2,중앙선,73.0,기타,미사용,계획 없음,,,,,,,
94,19072,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ23,중앙선,72.0,기타,미사용,계획 없음,,,,,,,
95,19073,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ3,중앙선,153.0,기타,미사용,계획 없음,,,,,,,
96,19074,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ5,중앙선,40.0,기타,미사용,계획 없음,,,,,,,
97,19075,강원본부,충청북도 단양군 매포읍 고양리 353ㅡ1,중앙선,56.0,기타,미사용,계획 없음,,,,,,,
98,19076,강원본부,충청북도 단양군 매포읍 고양리 353ㅡ2,중앙선,13.0,기타,미사용,계획 없음,,,,,,,
99,19077,강원본부,충청북도 단양군 매포읍 고양리 354ㅡ3,중앙선,33.0,기타,미사용,계획 없음,,,,,,,
100,19078,강원본부,충청북도 단양군 매포읍 고양리 354ㅡ5,중앙선,33.0,기타,미사용,계획 없음,,,,,,,
101,19079,강원본부,충청북도 단양군 매포읍 고양리 354ㅡ6,중앙선,33.0,기타,미사용,계획 없음,,,,,,,
102,19080,강원본부,충청북도 단양군 매포읍 고양리 368ㅡ2,중앙선,56.0,기타,미사용,계획 없음,,,,,,,
103,19081,강원본부,충청북도 단양군 매포읍 고양리 368ㅡ3,중앙선,43.0,기타,미사용,계획 없음,,,,,,,
104,19082,강원본부,충청북도 단양군 매포읍 고양리 369ㅡ2,중앙선,1874.0,기타,미사용,계획 없음,,,,,,,
105,19083,강원본부,충청북도 단양군 매포읍 고양리 371ㅡ1,중앙선,450.0,기타,미사용,계획 없음,,,,,,,
106,19084,강원본부,충청북도 단양군 매포읍 고양리 371ㅡ3,중앙선,202.0,기타,미사용,계획 없음,,,,,,,
107,19085,강원본부,충청북도 단양군 매포읍 고양리 371ㅡ6,중앙선,356.0,기타,미사용,계획 없음,,,,,,,
108,19086,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ3,중앙선,940.0,기타,미사용,계획 없음,,,,,,,
109,19087,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ4,중앙선,365.0,기타,미사용,계획 없음,,,,,,,
110,19088,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ8,중앙선,121.0,기타,미사용,계획 없음,,,,,,,
